Date;Waist;Weight;kcal total;kcal;Creatine
06.01.2024;;;;;
07.01.2024;;;;;
08.01.2024;;;;;
09.01.2024;;;;;
10.01.2024;;;;;
11.01.2024;;;;;
12.01.2024;;;;;
13.01.2024;;;;;
14.01.2024;;;;;
15.01.2024;;;;;
16.01.2024;;;;;
17.01.2024;;;;;
18.01.2024;;;;;
19.01.2024;;;;;
20.01.2024;;;;;
21.01.2024;;;;;
22.01.2024;103;;;;
23.01.2024;103;;;;
24.01.2024;103;;;;
25.01.2024;102,5;;;;
26.01.2024;102;;;;
27.01.2024;101,5;;;;
28.01.2024;101;;;;
29.01.2024;101;;;;
30.01.2024;101;;;;
31.01.2024;101;;;;
01.02.2024;101;;;;
02.02.2024;100,5;;;;
03.02.2024;100;;;;
04.02.2024;100,5;;;;
05.02.2024;100;;;;
06.02.2024;99,5;;;;
07.02.2024;100;;;;
08.02.2024;100;;;;
09.02.2024;100;;;;
10.02.2024;100;;;;
11.02.2024;99,5;;;;
12.02.2024;100;;;;
13.02.2024;100;;;;
14.02.2024;100;;;;
15.02.2024;100;;;;
16.02.2024;100;;;;1
17.02.2024;99,5;;;;1
18.02.2024;99,5;;;;1
19.02.2024;100;;;;1
20.02.2024;100;;;;1
21.02.2024;100;;;;1
22.02.2024;100;;;;1
23.02.2024;99,5;;;;1
24.02.2024;100;;;;1
25.02.2024;99,5;;;;1
26.02.2024;100;;;;1
27.02.2024;100;;;;1
28.02.2024;99,5;;;;1
29.02.2024;99,5;;;;1
01.03.2024;99,5;;;;1
02.03.2024;99,5;;;;1
03.03.2024;99;;;;1
04.03.2024;99;;;;1
05.03.2024;99;;;;1
06.03.2024;98,5;;;;1
07.03.2024;99;;;;1
08.03.2024;99;;;;1
09.03.2024;98,5;;;;1
10.03.2024;99;;;;1
11.03.2024;99;;;;1
12.03.2024;98,5;;;;1
13.03.2024;99;;;;1
14.03.2024;99;;;;1
15.03.2024;98,5;;;;1
16.03.2024;98,5;;;;1
17.03.2024;99;;;;1
18.03.2024;98,5;;;;1
19.03.2024;98,5;;;;1
20.03.2024;98;;;;1
21.03.2024;98,5;;;;1
22.03.2024;98;;;;1
23.03.2024;98,5;;;;1
24.03.2024;98;;;;1
25.03.2024;98;;;;1
26.03.2024;98;;;;1
27.03.2024;98;;;;1
28.03.2024;98;;;;1
29.03.2024;98;;;;1
30.03.2024;97,5;;;;1
31.03.2024;97,5;;;;1
01.04.2024;97,5;;;;
02.04.2024;97,5;;;;1
03.04.2024;97,5;;;;1
04.04.2024;97,5;;;;1
05.04.2024;97,5;;;;1
06.04.2024;97,5;;;;1
07.04.2024;97;;;;1
08.04.2024;97,5;;;;
09.04.2024;97,5;;;;1
10.04.2024;97,5;;;;
11.04.2024;98;;;;
12.04.2024;98;;;;
13.04.2024;98;;;;
14.04.2024;97,5;;;;1
15.04.2024;97,5;;;;1
16.04.2024;97,5;80,3;1841;1841;1
17.04.2024;97,5;80,4;2285;1896;1
18.04.2024;97,5;79,9;2287;2055;1
19.04.2024;97,5;80,5;2045;1699;1
20.04.2024;97,5;79,8;3146;1993;1
21.04.2024;97,5;80;2477;1820;1
22.04.2024;97,5;80,3;2879;2135;1
23.04.2024;97;80,8;2538;1775;1
24.04.2024;97;79,7;2325;2325;1
25.04.2024;97;79,4;2249;2020;1
26.04.2024;97;79,7;2201;1776;1
27.04.2024;97;79,5;3668;3668;
28.04.2024;97;79,1;2614;2037;1
29.04.2024;97;79;2353;1809;1
30.04.2024;97;79;2427;1830;1
01.05.2024;97;79,6;3027;2451;1
02.05.2024;97;79,8;3214;2760;1
03.05.2024;97;79,9;3413;2698;1
04.05.2024;97,5;80,3;3271;1750;
05.05.2024;97;79,8;2859;2256;1
06.05.2024;97;79,5;2834;2834;1
07.05.2024;97;79,6;;;
08.05.2024;;;;;
09.05.2024;;;;;
10.05.2024;;;;;
11.05.2024;;;;;
12.05.2024;;;;;
13.05.2024;96,5;79,8;2129;2129;1
14.05.2024;96,5;79,8;2593;2593;1
15.05.2024;96,5;79,8;2215;1885;1
16.05.2024;96,5;79,4;2653;2326;1
17.05.2024;96,5;79,2;3501;3501;1
18.05.2024;96,5;79,3;2782;2606;1
19.05.2024;97;79,4;2364;1971;1
20.05.2024;97;79,6;3450;2875;1
21.05.2024;97;80,4;2135;2135;1
22.05.2024;97;80,5;2606;1997;1
23.05.2024;97;79,6;2390;2027;1
24.05.2024;97;79,7;2747;2747;1
25.05.2024;96,5;79,6;2789;2789;1
26.05.2024;96,5;79,5;2130;2130;1
27.05.2024;96,5;78,9;2060;1799;1
28.05.2024;96,5;78,8;2107;1934;1
29.05.2024;96;78,6;2283;1894;1
30.05.2024;96;78,3;1855;1855;
31.05.2024;96;78,7;2071;1973;1
01.06.2024;96;78,7;3121;3121;1
02.06.2024;96;79,4;2844;2268;1
03.06.2024;96;78,9;2266;2077;1
04.06.2024;96;79,3;3571;3571;1
05.06.2024;96;79,4;1753;1359;1
06.06.2024;96,5;79;4102;3910;1
07.06.2024;96,5;80,6;3110;2776;1
08.06.2024;96,5;80,4;4427;4294;
09.06.2024;97;80,6;2752;2123;1
10.06.2024;97;80,3;2350;2017;1
11.06.2024;97;80;3771;3771;1
12.06.2024;97;80,6;4242;3913;1
13.06.2024;97;80,8;2608;2608;1
;;;;;
