Date;Muscle group;Exercise name;Sets;Reps;Weight;Body weight flg;Comment;Duration;Place
10.01.2024;Cardio;Run;2;;;;1,93 km - 6:45 /km;1,5;Gym
10.01.2024;Chest;Chest press;4;12;5;;Assisted;;
10.01.2024;Triceps;Triceps pushdown rope;4;12;9;;Rope;;
10.01.2024;Triceps;Triceps pushdown;3;10;9;;;;
10.01.2024;Chest;Chest press;4;12;15;;Machine;;
10.01.2024;Triceps;Seated dip;4;12;30;;;;
10.01.2024;Chest;Pec fly;4;10;39;;;;
10.01.2024;Back;Hip extension;2;12;0;BW;Roman chair;;
12.01.2024;Cardio;Run;1;;;;1 km - 6:42 /km;1,5;Gym
12.01.2024;Legs;Leg extension;4;10;25;;;;
12.01.2024;Legs;Standing calf raise;2;12;30;;;;
12.01.2024;Legs;Prone leg curl;3;12;35;;;;
12.01.2024;Legs;Angled leg press;1;12;35;;;;
12.01.2024;Legs;Prone leg curl;1;12;40;;;;
12.01.2024;Legs;Angled leg press;3;12;40;;;;
12.01.2024;Legs;Outer thigh;2;10;45;;;;
12.01.2024;Legs;Inner thigh;2;12;50;;;;
12.01.2024;Walk;Incline walk;1;;;;12% in - line 6km/h - 15 min;;
14.01.2024;Cardio;Run;1;;;;;1,75;Gym
14.01.2024;Chest;Chest press;2;10;8;;2 x One hand dumbbels;;
14.01.2024;Chest;Chest press;2;12;9;;;;
14.01.2024;Chest;Chest press;2;12;10;;Assisted;;
14.01.2024;Chest;Chest press;2;12;15;;;;
14.01.2024;Chest;Chest press;2;10;15;;Assisted;;
14.01.2024;Biceps;Bicep curl;4;8;18;;Two handed dumbbell;;
14.01.2024;Chest;Chest press;2;12;20;;;;
14.01.2024;Biceps;Preacher bicep curl;3;12;27;;;;
14.01.2024;Back;Mid row (One arm);3;12;30;;One arm;;
14.01.2024;Back;Mid row (One arm);1;12;35;;;;
14.01.2024;Chest;Pec fly;2;12;39;;;;
14.01.2024;Chest;Pec fly;2;10;39;;;;
15.01.2024;Cardio;Run;5;;;;5km;0,75;Out
16.01.2024;Shoulders;Dumbbell shoulder press;2;10;5;;;1,75;Gym
16.01.2024;Shoulders;Dumbbell front raise;3;10;5;;;;
16.01.2024;Shoulders;Dumbbell front raise;1;7;7,5;;;;
16.01.2024;Shoulders;Dumbbell shoulder press;2;10;7,5;;;;
16.01.2024;Shoulders;Shoulder press;3;10;11;;Very hard;;
16.01.2024;Shoulders;Lateral raise;1;14;13;;;;
16.01.2024;Shoulders;Lateral raise;2;14;17;;;;
16.01.2024;Shoulders;Lateral raise;1;10;22;;;;
16.01.2024;Back;Lat pulldown;1;12;35;;Machine;;
16.01.2024;Triceps;Seated dip;2;12;35;;;;
16.01.2024;Triceps;Seated dip;2;12;40;;;;
16.01.2024;Back;Lat pulldown;1;10;45;;Machine;;
16.01.2024;Walk;Incline walk;1;;;;;;
17.01.2024;Triceps;Triceps pulldown rope;2;12;9;;;2,25;Gym
17.01.2024;Core;Roc abs;2;12;10;;;;
17.01.2024;Chest;Incline press;2;10;10;;feeling weak;;
17.01.2024;Chest;Pec fly - standing, side pull;4;12;14;;;;
17.01.2024;Triceps;Triceps pulldown rope;2;10;14;;;;
17.01.2024;Core;Roc abs;3;10;15;;;;
17.01.2024;Chest;Chest press;1;10;15;;Assisted;;
17.01.2024;Chest;Chest press;3;8;17,5;;;;
17.01.2024;Triceps;Triceps pushdown;2;12;23;;;;
17.01.2024;Triceps;Triceps pushdown;3;12;27;;;;
17.01.2024;Chest;Pec fly;4;10;48;;;;
17.01.2024;Triceps;Seated dip;2;8;50;;Very hard;;
17.01.2024;Walk;Incline walk;1;;;;;;
17.01.2024;Walk;Incline walk;2;;;;;;
19.01.2024;Forearm;Waiter wrist curl;1;12;5;;;2;Gym
19.01.2024;Forearm;Waiter wrist curl;1;12;7,5;;;;
19.01.2024;Forearm;Dumbbell disc grip curl;3;12;7,5;;;;
19.01.2024;Forearm;Behind back wrist curls;4;16;7,5;;;;
19.01.2024;Biceps;Bicep curl;1;20;10;;;;
19.01.2024;Core;Ab coaster;2;12;10;;;;
19.01.2024;Biceps;Bicep curl;3;16;12,5;;;;
19.01.2024;Core;Roc abs;2;12;15;;;;
19.01.2024;Core;Ab coaster;3;12;15;;;;
19.01.2024;Core;Roc abs;2;10;20;;;;
19.01.2024;Biceps;Preacher bicep curl;2;10;27;;;;
19.01.2024;Biceps;Preacher bicep curl;2;8;32;;;;
19.01.2024;Back;Mid row (One arm);4;12;40;;;;
19.01.2024;Walk;Incline walk;1;;;;;;
20.01.2024;Cardio;Run;9;;;;;1,25;Out
21.01.2024;Walk;Walk;9;;;;;2,75;Out
22.01.2024;Chest;Incline push-ups;2;10;0;BW;Postel;1,5;Home
22.01.2024;Chest;Incline push-ups;4;14;0;BW;;;
22.01.2024;Legs;Squat;4;20;0;BW;;;
22.01.2024;Shoulders;Dumbbel shoulder overhead press with curl;4;10;4;;;;
22.01.2024;Shoulders;Dumbbell lateral raise;4;10;5;;;;
22.01.2024;Biceps;Bicep curl;2;14;10;;;;
22.01.2024;Biceps;Bicep curl;2;10;10;;;;
26.01.2024;Cardio;Run;1;;;;;1;Gym
26.01.2024;Biceps;Bicep curl;4;10;10;;;;
26.01.2024;Chest;Incline press;1;12;10;;;;
26.01.2024;Chest;Incline press;3;10;15;;;;
26.01.2024;Biceps;Preacher bicep curl;2;10;27;;;;
26.01.2024;Biceps;Preacher bicep curl;2;8;32;;;;
26.01.2024;Chest;Pec fly;2;10;39;;Bolí levé rameno;;
27.01.2024;Core;Plank;2;30;0;BW;1 set = 30 vteøin;1;Home
27.01.2024;Chest;Incline push-ups;2;14;0;BW;Gauè;;
27.01.2024;Chest;Incline push-ups;2;12;0;BW;;;
27.01.2024;Biceps;Hammer dumbbell curl;3;14;6,25;;;;
27.01.2024;Biceps;Hammer dumbbell curl;3;10;10;;;;
27.01.2024;Walk;Walk;2;;;;;;
31.01.2024;Legs;Squat;4;24;0;BW;;1;Home
31.01.2024;Shoulders;Dumbbel shoulder overhead press with curl;4;14;4;;;;
31.01.2024;Forearm;Dumbbell disc grip curl;4;12;7,5;;;;
31.01.2024;Back;Bend over rows;4;16;10;;;;
31.01.2024;Biceps;Hammer dumbbell curl;4;14;10;;;;
01.02.2024;Triceps;Triceps pushdown;1;14;9;;;1;Gym
01.02.2024;Triceps;Triceps pushdown;3;14;14;;;;
01.02.2024;Triceps;Overhead triceps extensions;2;12;14;;;;
01.02.2024;Triceps;Overhead triceps extensions;2;10;14;;;;
01.02.2024;Legs;Leg curl;2;14;45;;;;
01.02.2024;Triceps;Seated dip;4;12;45;;;;
01.02.2024;Legs;Leg curl;2;16;52;;;;
02.02.2024;Cardio;Run;6;;;;;0,75;Gym
03.02.2024;Cardio;Run;9;;;;;1,5;Out
04.02.2024;Cardio;Virtual ride;4;;8;;8 km / 2;1,75;Gym
04.02.2024;Core;Roc abs;1;12;15;;;;
04.02.2024;Core;Roc abs;3;15;15;;;;
04.02.2024;Chest;Incline press;1;16;15;;;;
04.02.2024;Chest;Incline press;3;12;20;;;;
04.02.2024;Back;Low row;2;14;32;;;;
04.02.2024;Back;Lat pulldown;3;12;35;;Machine;;
04.02.2024;Back;Low row;2;10;39;;;;
04.02.2024;Back;Lat pulldown;4;10;39;;Tower;;
04.02.2024;Back;Lat pulldown;1;12;40;;Machine;;
